STREET_1,STREET_2,STREET_3,BOROUGH,NOOFHUMPS,NEARSCHOO,DATEINSTA,DATEREINS,ORDERNO,SEGMENTID
EAST 87 STREET,AVENUE A,AVENUE B,Brooklyn,1,0,5/7/2019,,B-01366359,109927
EAST 94 STREET,FOSTER AVENUE,FARRAGUT ROAD,Brooklyn,1,0,5/7/2019,,B-01366646,42872
EAST 2 STREET,ALBEMARLE ROAD,CHURCH AVENUE,Brooklyn,1,0,5/6/2019,,B-01369247,27716
EAST 15 STREET,SHORE PARKWAY,EMMONS AVENUE,Brooklyn,1,1,5/6/2019,,B-01368038,26059
EAST 29 STREET,AVENUE N,AVENUE M,Brooklyn,2,2,5/3/2019,,B-01366956,27598
BAINBRIDGE STREET,SARATOGA AVENUE,HOWARD AVENUE,Brooklyn,2,0,5/1/2019,,B-01366601,106354
BAINBRIDGE STREET,SARATOGA AVENUE,HOWARD AVENUE,Brooklyn,2,0,5/1/2019,,B-01366601,106355
68 DRIVE,140 STREET,138 STREET,Queens,2,0,5/1/2019,,B-01367797 / 01367827,89874
68 DRIVE,140 STREET,138 STREET,Queens,2,0,5/1/2019,,B-01367797 / 01367827,90039
68 DRIVE,138 STREET,136 STREET,Queens,1,0,5/1/2019,,B-01367797 / 01367827,107412
68 DRIVE,138 STREET,136 STREET,Queens,1,0,5/1/2019,,B-01367797 / 01367827,107413
WOODBINE STREET,CENTRAL AVENUE,EVERGREEN AVENUE,Brooklyn,2,0,4/30/2019,,B-01366291,45097
MONROE STREET,FRANKLIN AVENUE,CLASSON AVENUE,Brooklyn,1,0,4/30/2019,,B-01366211,29471
84 STREET,FORT HAMILTON PARKWAY,5 AVENUE,Brooklyn,2,0,4/24/2019,,B-01336385,17169
66 STREET,16 AVENUE,DURYEA COURT,Brooklyn,1,1,4/23/2019,,B-01366385,20011
66 STREET,DURYEA COURT,15 AVENUE,Brooklyn,1,1,4/23/2019,,B-01366385,19909
41 STREET,8 AVENUE,7 AVENUE,Brooklyn,2,0,4/15/2019,,B-01366379,21097
CHERRY STREET,MARKET STREET,CATHERINE SLIP,Manhattan,2,0,4/8/2019,,B-01318867,227709
CHERRY STREET,MARKET STREET,CATHERINE SLIP,Manhattan,2,0,4/8/2019,,B-01318867,227708
CHERRY STREET,MARKET STREET,CATHERINE SLIP,Manhattan,2,0,4/8/2019,,B-01318867,162554
CHERRY STREET,MARKET STREET,CATHERINE SLIP,Manhattan,2,0,4/8/2019,,B-01318867,162555
CHERRY STREET,MARKET STREET,CATHERINE SLIP,Manhattan,2,0,4/8/2019,,B-01318867,9009047
62 STREET,11 AVENUE,13 AVENUE,Brooklyn,1,0,4/4/2019,,B-01298958,127155
62 STREET,11 AVENUE,13 AVENUE,Brooklyn,1,0,4/4/2019,,B-01298958,19795
62 STREET,11 AVENUE,13 AVENUE,Brooklyn,1,0,4/4/2019,,B-01298958,127154
62 STREET,11 AVENUE,13 AVENUE,Brooklyn,1,0,4/4/2019,,B-01298958,127156
62 STREET,12 AVENUE,13 AVENUE,Brooklyn,1,0,4/4/2019,,B-01298958,19795
73 STREET,6 AVENUE,5 AVENUE,Brooklyn,2,0,4/3/2019,,B-01343341,126866
73 STREET,6 AVENUE,5 AVENUE,Brooklyn,2,0,4/3/2019,,B-01343341,126865
PROSPECT PLACE,NEW YORK AVENUE,NOSTRAND AVENUE,Brooklyn,1,0,4/1/2019,,B-01268031,29751
PROSPECT PLACE,BROOKLYN AVENUE,NEW YORK AVENUE,Brooklyn,1,1,4/1/2019,,B-01300663,29757
EAST HAMPTON BOULEVARD,232 STREET,231 STREET,Queens,1,0,3/29/2019,,B-01336477 / 01336475,101407
33 STREET,DITMARS BOULEVARD,23 AVENUE,Queens,1,1,3/29/2019,,B-01341915,68953
33 STREET,DITMARS BOULEVARD,23 AVENUE,Queens,1,1,3/29/2019,,B-01341915,69008
EAST 29 STREET,AVENUE P,KINGS HWY,Brooklyn,3,3,3/29/2019,,B-01334222,163535
EAST 29 STREET,AVENUE P,KINGS HWY,Brooklyn,3,3,3/29/2019,,B-01334222,163534
53 DRIVE,70 STREET,69 STREET,Queens,1,0,3/28/2019,,B-01345773 / 01345776,74187
HOMECREST AVENUE,AVENUE Z,WILLIAMS COURT,Brooklyn,1,0,3/28/2019,11/18/2019,B-01336153 / 01336157,25926
HENDRIX STREET,FULTON STREET,ATLANTIC AVENUE,Brooklyn,1,0,1/31/2020,,B-01300746,168446
HENDRIX STREET,FULTON STREET,ATLANTIC AVENUE,Brooklyn,1,0,1/31/2020,,B-01300746,168445
STRICKLAND AVENUE,MILL AVENUE,EAST 60 PLACE,Brooklyn,2,0,1/29/2020,,B-01367753,41520
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,128717
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,186735
EAST 107 STREET,AVENUE J,FLATLANDS AVENUE,Brooklyn,2,2,1/7/2020,,B-01400494,186736
OCEAN PARKWAY,18 AVENUE,DITMAS AVENUE,Brooklyn,2,2,7/10/2019,,B-01368095,163568
OCEAN PARKWAY,18 AVENUE,DITMAS AVENUE,Brooklyn,2,2,7/10/2019,,B-01368095,163569
RYDER STREET,FILLMORE AVENUE,AVENUE S,Brooklyn,1,0,8/5/2019,,B-01381403,40971
STUART STREET,AVENUE S,AVENUE T,Brooklyn,1,0,6/28/2019,,B-01366931,39865
EASTERN PARKWAY,BEDFORD AVENUE,ROGERS AVENUE,Brooklyn,1,1,5/21/2019,,B-01366251,29517
EASTERN PARKWAY,ROGERS AVENUE,BEDFORD AVENUE,Brooklyn,1,0,5/21/2019,,B-01366234,29517
EASTERN PARKWAY,BROOKLYN AVENUE,NEW YORK AVENUE,Brooklyn,1,1,1/3/2019,,B-01307216,29741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007450
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007443
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007437
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007441
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007447
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007446
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264740
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264741
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264722
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,264723
MYRTLE AVENUE,THROOP AVENUE,MARCUS GARVEY BLVD,Brooklyn,1,0,6/24/2019,,B-01341490 / 01341503,9007438
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006899
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024112
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024113
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9024111
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007436
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9006900
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007434
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007435
MYRTLE AVENUE,MARCUS GARVEY BLVD,LEWIS AVENUE,Brooklyn,2,0,6/21/2019,,B-01341490 / 01341503,9007432
