STREET_1,STREET_2,STREET_3,BOROUGH,NOOFHUMPS,NEARSCHOO,DATEINSTA,DATEREINS,ORDERNO,SEGMENTID
WEST 176 STREET,HARRISON AVENUE,MACOMBS ROAD,Bronx,1,1,8/7/2019,,B-01378307 / 01378314,72070
HUGHES AVENUE,EAST 186 STREET,CRESCENT AVENUE,Bronx,1,0,8/6/2019,,B-01381715,80239
LEXINGTON AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,Brooklyn,1,0,8/6/2019,,B-01368053,128543
LEXINGTON AVENUE,MALCOLM X BOULEVARD,STUYVESANT AVENUE,Brooklyn,1,0,8/6/2019,,B-01368053,128542
FENIMORE STREET,ROGERS AVENUE,BEDFORD AVENUE,Brooklyn,1,0,8/6/2019,,B-01369743,28505
OCEAN VIEW AVENUE,BRIGHTON 13 STREET,BRIGHTON 12 STREET,Brooklyn,1,1,8/5/2019,,B-01367671,25851
HUGUENOT AVENUE,BOSTON ROAD,HOLLERS AVENUE,Bronx,1,0,8/2/2019,,B-01372525 / 01372527,180056
HUGUENOT AVENUE,BOSTON ROAD,HOLLERS AVENUE,Bronx,1,0,8/2/2019,,B-01372525 / 01372527,180055
HUGUENOT AVENUE,BOSTON ROAD,HOLLERS AVENUE,Bronx,1,0,8/2/2019,,B-01372525 / 01372527,180054
15 AVENUE,CROPSEY AVENUE,INDEPENDENCE AVENUE,Brooklyn,1,0,8/2/2019,,B-01381744 / 01381748,19377
18 AVENUE,SHORE PARKWAY,CROPSEY AVENUE,Brooklyn,2,0,7/31/2019,,B-01341399 / 01341410,127016
18 AVENUE,SHORE PARKWAY,CROPSEY AVENUE,Brooklyn,2,0,7/31/2019,,B-01341399 / 01341410,127017
REV JAMES POLITE AVENUE,EAST 165 STREET,EAST 164 STREET,Bronx,1,1,7/31/2019,,B-01374028,77432
TINTON AVENUE,EAST 169 STREET,EAST 168 STREET,Bronx,1,0,7/30/2019,,B-01372433,107131
TINTON AVENUE,EAST 169 STREET,EAST 168 STREET,Bronx,1,0,7/30/2019,,B-01372433,107130
PROSPECT AVENUE,EAST 185 STREET,EAST 183 STREET,Bronx,1,0,7/30/2019,,B-01372541,79210
CANARSIE ROAD,SKIDMORE AVENUE,SEAVIEW AVENUE,Brooklyn,1,1,7/29/2019,,B-01367732,167865
CANARSIE ROAD,SKIDMORE AVENUE,SEAVIEW AVENUE,Brooklyn,1,1,7/29/2019,,B-01367732,167866
EAST 92 STREET,AVENUE L,AVENUE M,Brooklyn,1,1,7/29/2019,,B-01366706,46486
COMMONWEALTH AVENUE,SEWARD AVENUE,RANDALL AVENUE,Bronx,1,0,7/29/2019,,B-01371730 / 01371740,85127
ST LAWRENCE AVENUE,SEWARD AVENUE,RANDALL AVENUE,Bronx,1,0,7/29/2019,,B-01376318 / 01376324,85130
COLONIAL ROAD,89 STREET,91 STREET,Brooklyn,1,0,7/26/2019,,B-01371996 / 01371999,16641
BRADFORD STREET,DUMONT AVENUE,LIVONIA AVENUE,Brooklyn,1,0,7/24/2019,,B-01368337,47671
HEMLOCK STREET,STANLEY AVENUE,WORTMAN AVENUE,Brooklyn,1,1,7/24/2019,,B-01369889 / 01369897,50770
35 STREET,24 AVENUE,23 AVENUE,Queens,2,0,7/19/2019,,B-01381375,129878
35 STREET,24 AVENUE,23 AVENUE,Queens,2,0,7/19/2019,,B-01381375,129880
35 STREET,24 AVENUE,23 AVENUE,Queens,2,0,7/19/2019,,B-01381375,129879
180 STREET,BAISLEY BOULEVARD,119 ROAD,Queens,1,0,7/18/2019,,B-01314510 / 01314517,115976
180 STREET,BAISLEY BOULEVARD,119 ROAD,Queens,1,0,7/18/2019,,B-01314510 / 01314517,115975
