nodeid,masterid,control_type,control_id,node_lon_lat,control_lon_lat,distance
45327,45327,SIG,40693,"[-73.8984361137677, 40.7242807206749]","[-73.898438, 40.7242809999998]",0.532637807342083
45331,45331,SIG,40705,"[-73.8967068735826, 40.7251669237423]","[-73.896623, 40.7252109999998]",28.2547039032121
45366,45366,SIG,40742,"[-73.8978323698204, 40.7351603536364]","[-73.897833, 40.7351609999998]",0.293183413218467
45372,45385,SIG,40715,"[-73.8998290523108, 40.739512354483]","[-73.899818, 40.7395209999998]",4.39341207102199
45386,83574,SIG,40605,"[-73.8996057775751, 40.7408948357163]","[-73.899611, 40.7408769999998]",6.65731873224307
45420,65416,SIG,42245,"[-73.8941125547858, 40.723214260072]","[-73.894114, 40.7232149999999]",0.482851393777269
45430,45430,SIG,40698,"[-73.8953407013442, 40.7259204972311]","[-73.89534, 40.7259199999998]",0.265719179717389
45431,45431,SIG,43226,"[-73.8946783278277, 40.7249987970395]","[-73.894689, 40.7250149999998]",6.60291377916136
45434,45434,SIG,42725,"[-73.895071289065, 40.7255424261078]","[-73.895082, 40.7255569999999]",6.08332925097031
45436,45438,SIG,42422,"[-73.8946431034733, 40.7263381018091]","[-73.894638, 40.7263319999998]",2.63495543912326
45447,45447,SIG,40739,"[-73.8955889064415, 40.7289653358885]","[-73.895587, 40.7289669999998]",0.804226732612694
45454,45456,SIG,42424,"[-73.8938655307556, 40.7268043649308]","[-73.893859, 40.7268119999998]",3.31878991658787
45463,45464,SIG,40738,"[-73.8957632694028, 40.7311369535612]","[-73.895764, 40.7311379999998]",0.431685506513546
45481,64722,SIG,40717,"[-73.8960293155619, 40.7350178913392]","[-73.896029, 40.7350189999998]",0.413278830232445
45483,45483,SIG,43005,"[-73.8959750399866, 40.7364412759178]","[-73.895976, 40.7364409999999]",0.284406098434075
45484,45484,SIG,42292,"[-73.8959563970345, 40.7369253903265]","[-73.895958, 40.7369269999998]",0.735707435854089
45491,45491,SIG,40736,"[-73.8942160834499, 40.7355508898674]","[-73.894217, 40.7355499999998]",0.411860663402117
45497,45497,SIG,40733,"[-73.8959016609257, 40.7383536008018]","[-73.895901, 40.7383539999998]",0.233878757518225
45499,45499,SIG,43333,"[-73.8958718125291, 40.7390664159545]","[-73.895855, 40.7390599999998]",5.21257286688278
45500,45500,SIG,40723,"[-73.8958511511408, 40.7402720422524]","[-73.895851, 40.7402719999998]",0.0446225440244318
45504,45504,SIG,40721,"[-73.8942324910083, 40.7399656821399]","[-73.894224, 40.7399529999999]",5.18513250777406
45507,45507,SIG,40734,"[-73.8941075802017, 40.7383167642735]","[-73.894108, 40.7383169999998]",0.144601775882385
45512,45512,SIG,40728,"[-73.8956516672016, 40.7426855013611]","[-73.895653, 40.7426849999999]",0.412025124230833
45514,45514,SIG,42984,"[-73.8937663807843, 40.7426086034462]","[-73.893765, 40.7426089999998]",0.408988932205802
45516,45516,SIG,40729,"[-73.8928206466499, 40.7427405340751]","[-73.89282, 40.7427399999998]",0.264518805143727
45526,45526,SIG,40969,"[-73.8911601449399, 40.7194602786248]","[-73.891162, 40.7194599999999]",0.524146294628256
45529,45529,SIG,41012,"[-73.889664413813, 40.7201556878833]","[-73.889663, 40.7201559999998]",0.408068733781642
45559,45559,SIG,40699,"[-73.8922849298442, 40.7277582926819]","[-73.892284, 40.7277589999998]",0.364455935509389
45561,45561,SIG,40701,"[-73.8915176324875, 40.7281616318111]","[-73.891519, 40.7281609999998]",0.443448475288037
45564,45564,SIG,40700,"[-73.890850626264, 40.7285982933211]","[-73.890825, 40.7286269999998]",12.6424842792332
45576,45576,SIG,40702,"[-73.8900079939427, 40.7294501153019]","[-73.890009, 40.7294499999998]",0.281983775474815
