ogc_fid,nodeid,vintersect,version,created,masterid,is_int,manual_fix,is_cntrln_int
"74617",78755,,19d,2019-12-13T10:04:53.983,"20136","1","0","0"
"74661",78800,,19d,2019-12-13T10:04:53.983,"20090","1","0","0"
"74683",78823,,19d,2019-12-13T10:04:53.983,"20090","1","0","0"
"79992",84260,,19d,2019-12-13T10:04:53.983,"20090","1","0","0"
"83094",87449,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"88328",92871,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89710",94336,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89714",94340,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89715",94341,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89874",94502,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89875",94503,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89876",94504,,19d,2019-12-13T10:04:53.983,"20105","1","0","0"
"89877",94505,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89878",94506,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89879",94507,,19d,2019-12-13T10:04:53.983,"20105","1","0","0"
"89880",94508,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89881",94509,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"89882",94510,,19d,2019-12-13T10:04:53.983,"20120","1","0","0"
"89888",94516,,19d,2019-12-13T10:04:53.983,"20121","1","0","0"
"89900",94528,,19d,2019-12-13T10:04:53.983,"20122","1","0","0"
"89902",94530,,19d,2019-12-13T10:04:53.983,"20122","1","0","0"
"89904",94532,,19d,2019-12-13T10:04:53.983,"20123","1","0","0"
"89906",94534,,19d,2019-12-13T10:04:53.983,"20123","1","0","0"
"89908",94536,,19d,2019-12-13T10:04:53.983,"20136","1","0","0"
"90165",94800,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"90170",94805,,19d,2019-12-13T10:04:53.983,"20072","1","0","0"
"91801",96582,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"91802",96583,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"91803",96584,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"91814",96595,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"91815",96596,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"94799",99967,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"94803",99972,,19d,2019-12-13T10:04:53.983,"20091","1","0","0"
"110099",9007756,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"110107",9007765,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"110108",9007766,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"112582",9011479,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"112901",9013094,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"112902",9013095,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"112903",9013096,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"115177",9018825,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"115182",9018830,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"115199",9018848,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"115228",9018881,VirtualIntersection,19d,2019-12-13T10:04:53.983,,"0","0","0"
"117672",9029329,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"117673",9029330,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"117674",9029331,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119306",9031704,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119307",9031705,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119308",9031706,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119309",9031707,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119310",9031708,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119311",9031709,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119312",9031710,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119313",9031711,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119314",9031712,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"119323",9031721,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"121816",9036062,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122033",9036649,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122034",9036650,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122035",9036651,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122424",9037235,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122580",9037477,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122820",9037783,,19d,2019-12-13T10:04:53.983,"9037784","1","0","0"
"122821",9037784,,19d,2019-12-13T10:04:53.983,"9037784","1","0","1"
"122822",9037788,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122823",9037789,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122824",9037790,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"122825",9037791,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"124080",9040170,,19d,2019-12-13T10:04:53.983,"9040170","1","0","1"
"125068",9041948,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"125436",9042637,,19d,2019-12-13T10:04:53.983,"9042637","1","0","1"
"127180",9045018,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127181",9045019,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127182",9045020,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127183",9045021,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127184",9045022,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127185",9045023,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127186",9045025,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127187",9045026,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127188",9045028,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127189",9045031,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127294",9045161,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127539",9045518,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127665",9045774,,19d,2019-12-13T10:04:53.983,"9045774","1","0","1"
"127666",9045776,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127667",9045777,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127668",9045778,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127669",9045779,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127670",9045780,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"127671",9045781,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128155",9046921,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128156",9046922,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128157",9046930,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128158",9046931,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128159",9046932,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128160",9046933,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128161",9046934,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128162",9046935,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128808",9047990,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128882",9048061,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128913",9048118,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"128969",9048211,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"130702",9051373,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"130703",9051374,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"130704",9051376,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"130705",9051377,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"130706",9051378,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"130707",9051379,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131137",9052303,,19d,2019-12-13T10:04:53.983,,"0","0","0"
"131151",9052317,,19d,2019-12-13T10:04:53.983,,"0","0","0"
