segmentid,street,postvz_sl,postvz_sg,prevz_sl,prevz_sg,version
"97469",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"97621",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"97629",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"97782",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"97794",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"97997",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"98002",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"98005",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"98006",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"98008",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"98013",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"98204",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
"98207",NORTHERN BOULEVARD,"25",YES,"30",YES,19d
